id,case_number,date,block,iucr,crime_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,city,data_source,fetch_date
14071729,JK101026,2026-01-01 19:23:00,031XX N CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,1411,014,35,21,08B,1157161,1920921,2026,2026-01-09T15:43:07.000,41.938776641,-87.69780343,"{'latitude': '41.938776641', 'longitude': '-87.69780343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071541,JK101024,2026-01-01 19:25:00,048XX S WOLCOTT AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,0931,009,15,61,08A,1164504,1872502,2026,2026-01-09T15:43:07.000,41.80575818,-87.672186782,"{'latitude': '41.80575818', 'longitude': '-87.672186782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071755,JK101104,2026-01-01 19:30:00,008XX S KILPATRICK AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,1131,011,24,25,04B,1145189,1895701,2026,2026-01-09T15:43:07.000,41.869805362,-87.74244233,"{'latitude': '41.869805362', 'longitude': '-87.74244233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071625,JK101053,2026-01-01 19:53:00,036XX W 15TH ST,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,False,True,1011,010,24,29,04B,1152486,1892469,2026,2026-01-09T15:43:07.000,41.860795429,-87.715738069,"{'latitude': '41.860795429', 'longitude': '-87.715738069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071584,JK101063,2026-01-01 19:56:00,035XX N KILBOURN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1731,017,30,16,08B,1145752,1923185,2026,2026-01-09T15:43:07.000,41.945213698,-87.739677037,"{'latitude': '41.945213698', 'longitude': '-87.739677037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071725,JK101049,2026-01-01 20:00:00,012XX N CALIFORNIA AVE,0460,BATTERY,SIMPLE,STREET,False,False,1423,014,26,24,08B,1157507,1907945,2026,2026-01-09T15:43:07.000,41.903162458,-87.696885733,"{'latitude': '41.903162458', 'longitude': '-87.696885733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071753,JK101166,2026-01-01 20:00:00,028XX S TRIPP AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1031,010,22,30,08B,1148516,1884790,2026,2026-01-09T15:43:07.000,41.839800712,-87.730509051,"{'latitude': '41.839800712', 'longitude': '-87.730509051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071737,JK101144,2026-01-01 20:00:00,016XX W SHERWIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2423,024,49,1,08B,1164265,1948722,2026,2026-01-09T15:43:07.000,42.014916096,-87.670904385,"{'latitude': '42.014916096', 'longitude': '-87.670904385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072415,JK101074,2026-01-01 20:00:00,099XX S EMERALD AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,2232,022,21,73,04A,1173059,1839012,2026,2026-01-09T15:43:07.000,41.713672629,-87.641797783,"{'latitude': '41.713672629', 'longitude': '-87.641797783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072155,JK101093,2026-01-01 20:30:00,005XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,True,0124,001,28,28,08B,1173059,1897584,2026,2026-01-09T15:43:07.000,41.874400423,-87.640067886,"{'latitude': '41.874400423', 'longitude': '-87.640067886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
